idx,alpha,mu,omega,rho,loglike
0,0.04,0.02,0.0,0.0,-inf
1,0.04,0.02,0.0,0.02,-inf
2,0.04,0.02,0.0,0.04,-inf
3,0.04,0.02,0.0,0.06,-inf
4,0.04,0.02,0.0,0.08,-inf
5,0.04,0.02,0.0,0.1,-inf
6,0.04,0.02,0.0,0.12,-inf
7,0.04,0.02,0.0,0.14,-inf
8,0.04,0.02,0.0,0.16,-inf
9,0.04,0.02,0.0,0.18,-inf
10,0.04,0.02,0.0,0.2,-inf
11,0.04,0.02,0.0,0.22,-inf
12,0.04,0.02,0.0,0.24,-inf
13,0.04,0.02,0.0,0.26,-inf
14,0.04,0.02,0.0,0.28,-inf
15,0.04,0.02,0.0,0.3,-inf
16,0.04,0.02,0.0,0.32,-inf
17,0.04,0.02,0.0,0.34,-inf
18,0.04,0.02,0.0,0.36,-inf
19,0.04,0.02,0.0,0.38,-inf
20,0.04,0.02,0.0,0.4,-inf
21,0.04,0.02,0.0,0.42,-inf
22,0.04,0.02,0.0,0.44,-inf
23,0.04,0.02,0.0,0.46,-inf
24,0.04,0.02,0.0,0.48,-inf
25,0.04,0.02,0.0,0.5,-inf
26,0.04,0.02,0.0,0.52,-inf
27,0.04,0.02,0.0,0.54,-inf
28,0.04,0.02,0.0,0.56,-inf
29,0.04,0.02,0.0,0.58,-inf
30,0.04,0.02,0.0,0.6,-inf
31,0.04,0.02,0.0,0.62,-inf
32,0.04,0.02,0.0,0.64,-inf
33,0.04,0.02,0.0,0.66,-inf
34,0.04,0.02,0.0,0.68,-inf
35,0.04,0.02,0.0,0.7,-inf
36,0.04,0.02,0.0,0.72,-inf
37,0.04,0.02,0.0,0.74,-inf
38,0.04,0.02,0.0,0.76,-inf
39,0.04,0.02,0.0,0.78,-inf
40,0.04,0.02,0.0,0.8,-inf
41,0.04,0.02,0.0,0.82,-inf
42,0.04,0.02,0.0,0.84,-inf
43,0.04,0.02,0.0,0.86,-inf
44,0.04,0.02,0.0,0.88,-inf
45,0.04,0.02,0.0,0.9,-inf
46,0.04,0.02,0.0,0.92,-inf
47,0.04,0.02,0.0,0.94,-inf
48,0.04,0.02,0.0,0.96,-inf
49,0.04,0.02,0.0,0.98,-inf
50,0.04,0.02,0.0,1.0,-inf
51,0.04,0.04,0.0,0.0,-inf
52,0.04,0.04,0.0,0.02,-inf
53,0.04,0.04,0.0,0.04,-inf
54,0.04,0.04,0.0,0.06,-inf
55,0.04,0.04,0.0,0.08,-inf
56,0.04,0.04,0.0,0.1,-inf
57,0.04,0.04,0.0,0.12,-inf
58,0.04,0.04,0.0,0.14,-inf
59,0.04,0.04,0.0,0.16,-inf
60,0.04,0.04,0.0,0.18,-inf
61,0.04,0.04,0.0,0.2,-inf
62,0.04,0.04,0.0,0.22,-inf
63,0.04,0.04,0.0,0.24,-inf
64,0.04,0.04,0.0,0.26,-inf
65,0.04,0.04,0.0,0.28,-inf
66,0.04,0.04,0.0,0.3,-inf
67,0.04,0.04,0.0,0.32,-inf
68,0.04,0.04,0.0,0.34,-inf
69,0.04,0.04,0.0,0.36,-inf
70,0.04,0.04,0.0,0.38,-inf
71,0.04,0.04,0.0,0.4,-inf
72,0.04,0.04,0.0,0.42,-inf
73,0.04,0.04,0.0,0.44,-inf
74,0.04,0.04,0.0,0.46,-inf
75,0.04,0.04,0.0,0.48,-inf
76,0.04,0.04,0.0,0.5,-inf
77,0.04,0.04,0.0,0.52,-inf
78,0.04,0.04,0.0,0.54,-inf
79,0.04,0.04,0.0,0.56,-inf
80,0.04,0.04,0.0,0.58,-inf
81,0.04,0.04,0.0,0.6,-inf
82,0.04,0.04,0.0,0.62,-inf
83,0.04,0.04,0.0,0.64,-inf
84,0.04,0.04,0.0,0.66,-inf
85,0.04,0.04,0.0,0.68,-inf
86,0.04,0.04,0.0,0.7,-inf
87,0.04,0.04,0.0,0.72,-inf
88,0.04,0.04,0.0,0.74,-inf
89,0.04,0.04,0.0,0.76,-inf
90,0.04,0.04,0.0,0.78,-inf
91,0.04,0.04,0.0,0.8,-inf
92,0.04,0.04,0.0,0.82,-inf
93,0.04,0.04,0.0,0.84,-inf
94,0.04,0.04,0.0,0.86,-inf
